Prediction reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,1,1,1,1,1
0.1,1,1,1,1,1
0.2,0.16714114242,0.98836851375,1,1,1
0.3,0.0368561109,0.82919601404,1,1,1
0.4,0.01505208305,0.46879479516,1,1,1
0.5,0.00102362907,0.20588604932,1,1,1
0.6,0,0.08900655159,1,1,1
0.7,0,0.04050620461,1,1,1
0.8,0,0.01918120602,1,1,1
0.9,0,0.00856606324,1,1,1
