Recommendation reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,0.90465735506,0.92296383611,0.90182382319,0.72261539962,0.74430261807
0.1,0.90465735506,0.92295642887,0.90182382319,0.72261539962,0.74430261807
0.2,0.90465735506,0.92309763871,0.90182382319,0.72261539962,0.74430261807
0.3,0.90462814642,0.92351912739,0.90182382319,0.72261539962,0.74430261807
0.4,0.9063960159,0.92492029451,0.90182382319,0.72261539962,0.74430261807
0.5,0.94141738893,0.92713983589,0.90182382319,0.72261539962,0.74430261807
0.6,0.98827300865,0.93069211141,0.90182382319,0.72261539962,0.74430261807
0.7,0.90909090909,0.93785542917,0.90182382319,0.72261539962,0.74430261807
0.8,NaN,0.94740460191,0.90182382319,0.72261539962,0.74430261807
0.9,NaN,0.96307296534,0.90182382319,0.72261539962,0.74430261807
