Recommendation reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,0.94131184297,0.94480062873,0.16828180284,0.51185813347,0.65666001645
0.1,0.94131184297,0.93091723604,0.16828180284,0.51185813347,0.65666001645
0.2,0.92757354987,0.88157677964,0.16828180284,0.51185813347,0.65666001645
0.3,0.57541574308,0.73787542098,0.16828180284,0.51185813347,0.65666001645
0.4,0.05217149732,0.57531871022,0.16828180284,0.51185813347,0.65666001645
0.5,0,0.43021243146,0.16828180284,0.51185813347,0.65666001645
0.6,0,0.31012606968,0.16828180284,0.51185813347,0.65666001645
0.7,0,0.21239683677,0.16828180284,0.51185813347,0.65666001645
0.8,0,0.13860320197,0.16828180284,0.51185813347,0.65666001645
0.9,0,0.06008702747,0.16828180284,0.51185813347,0.65666001645
