Prediction reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,1,1,1,1,1
0.1,1,1,1,1,1
0.2,0.27846754168,0.95494856332,1,1,1
0.3,0.00035473572,0.77758070238,1,1,1
0.4,0,0.47995743171,1,1,1
0.5,0,0.24583185527,1,1,1
0.6,0,0.13409010287,1,1,1
0.7,0,0.06598084427,1,1,1
0.8,0,0.03511883647,1,1,1
0.9,0,0.01667257893,1,1,1
