Recommendation reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,0.77238880763,0.77386776098,0.7151706476,0.75426253407,0.76957505954
0.1,0.77238880763,0.77445035845,0.7151706476,0.75426253407,0.76957505954
0.2,0.77238880763,0.77585865973,0.7151706476,0.75426253407,0.76957505954
0.3,0.77273868212,0.77918620303,0.7151706476,0.75426253407,0.76957505954
0.4,0.78426265093,0.78725865656,0.7151706476,0.75426253407,0.76957505954
0.5,0.82288515406,0.80044129918,0.7151706476,0.75426253407,0.76957505954
0.6,0.91905967014,0.82372204398,0.7151706476,0.75426253407,0.76957505954
0.7,0.8,0.84302518372,0.7151706476,0.75426253407,0.76957505954
0.8,NaN,0.87790131776,0.7151706476,0.75426253407,0.76957505954
0.9,NaN,0.92167875315,0.7151706476,0.75426253407,0.76957505954
