Recommendation reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,0.51891152112,0.52196971666,0.26150021052,0.31502177043,0.28408774064
0.1,0.51891152112,0.52111404068,0.26150021052,0.31502177043,0.28408774064
0.2,0.51891152112,0.51893229329,0.26150021052,0.31502177043,0.28408774064
0.3,0.51891152112,0.51322642851,0.26150021052,0.31502177043,0.28408774064
0.4,0.50147270874,0.4975244861,0.26150021052,0.31502177043,0.28408774064
0.5,0.3832715358,0.46973367841,0.26150021052,0.31502177043,0.28408774064
0.6,0.08750845689,0.42106813592,0.26150021052,0.31502177043,0.28408774064
0.7,0.00045233849,0.3348851234,0.26150021052,0.31502177043,0.28408774064
0.8,0,0.22913050387,0.26150021052,0.31502177043,0.28408774064
0.9,0,0.10541870284,0.26150021052,0.31502177043,0.28408774064
