Prediction reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,0.72828500303,0.71015272825,0.69513161912,0.70361644652,0.71261042591
0.1,0.72828500303,0.71015272825,0.69513161912,0.70361644652,0.71261042591
0.2,0.72828500303,0.71015272825,0.69513161912,0.70361644652,0.71261042591
0.3,0.54528397415,0.69564312474,0.69513161912,0.70361644652,0.71261042591
0.4,0.33516483516,0.61699096707,0.69513161912,0.70361644652,0.71261042591
0.5,0.13056379822,0.5176257909,0.69513161912,0.70361644652,0.71261042591
0.6,NaN,0.41493996387,0.69513161912,0.70361644652,0.71261042591
0.7,NaN,0.34782608696,0.69513161912,0.70361644652,0.71261042591
0.8,NaN,0.26006904488,0.69513161912,0.70361644652,0.71261042591
0.9,NaN,0.20491803279,0.69513161912,0.70361644652,0.71261042591
